img_path,img_gt_class_labels,img_gt_bbox_coords
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_006623.jpg,[3],"[[239.0, 124.0, 37.0, 105.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002042.jpg,"[3, 3, 3, 3]","[[91.0, 133.0, 45.0, 117.0], [148.0, 127.0, 63.0, 201.0], [287.0, 119.0, 37.0, 144.0], [24.0, 121.0, 10.0, 18.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_003088.jpg,[2],"[[1.0, 1.0, 397.0, 374.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_006696.jpg,[9],"[[18.0, 53.0, 273.0, 369.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_007825.jpg,[15],"[[22.0, 144.0, 433.0, 160.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002639.jpg,"[9, 9, 9, 9, 9, 9, 9, 10]","[[210.0, 120.0, 59.0, 43.0], [71.0, 144.0, 73.0, 28.0], [18.0, 174.0, 105.0, 141.0], [10.0, 236.0, 145.0, 139.0], [253.0, 151.0, 58.0, 45.0], [357.0, 174.0, 78.0, 69.0], [312.0, 279.0, 173.0, 96.0], [47.0, 160.0, 415.0, 215.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002553.jpg,[2],"[[89.0, 94.0, 375.0, 225.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_004634.jpg,[6],"[[1.0, 41.0, 485.0, 265.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_001382.jpg,"[16, 1, 1, 1, 10, 3]","[[147.0, 93.0, 80.0, 165.0], [446.0, 96.0, 53.0, 246.0], [216.0, 1.0, 91.0, 287.0], [336.0, 142.0, 88.0, 143.0], [1.0, 172.0, 499.0, 203.0], [1.0, 1.0, 227.0, 201.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003974.jpg,[15],"[[33.0, 99.0, 423.0, 182.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_000127.jpg,"[3, 3, 3]","[[99.0, 86.0, 41.0, 101.0], [178.0, 57.0, 118.0, 215.0], [477.0, 116.0, 23.0, 83.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_000052.jpg,"[18, 3]","[[411.0, 235.0, 69.0, 14.0], [459.0, 236.0, 16.0, 31.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_008123.jpg,[13],"[[1.0, 106.0, 499.0, 177.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002092.jpg,"[3, 3, 3, 3, 3, 3, 3, 3, 7]","[[91.0, 184.0, 148.0, 190.0], [288.0, 189.0, 148.0, 185.0], [374.0, 66.0, 126.0, 143.0], [294.0, 16.0, 164.0, 118.0], [279.0, 99.0, 165.0, 262.0], [180.0, 96.0, 112.0, 257.0], [88.0, 110.0, 122.0, 228.0], [4.0, 82.0, 209.0, 262.0], [1.0, 109.0, 479.0, 217.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_005400.jpg,[11],"[[106.0, 130.0, 60.0, 40.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2011_007031.jpg,[3],"[[245.0, 24.0, 109.0, 336.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_000572.jpg,[0],"[[59.0, 159.0, 375.0, 76.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002496.jpg,"[0, 0, 0]","[[380.0, 95.0, 120.0, 112.0], [35.0, 83.0, 365.0, 183.0], [1.0, 20.0, 168.0, 73.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_003884.jpg,"[9, 9, 9, 9, 10]","[[89.0, 197.0, 214.0, 291.0], [1.0, 171.0, 126.0, 210.0], [127.0, 156.0, 92.0, 116.0], [119.0, 148.0, 70.0, 91.0], [3.0, 142.0, 152.0, 140.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_000432.jpg,"[3, 3]","[[171.0, 32.0, 123.0, 279.0], [293.0, 149.0, 62.0, 143.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_002337.jpg,[3],"[[118.0, 4.0, 131.0, 257.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2009_001516.jpg,[13],"[[48.0, 139.0, 452.0, 150.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_006734.jpg,"[3, 3]","[[221.0, 58.0, 86.0, 144.0], [39.0, 26.0, 100.0, 188.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2012_002092.jpg,[3],"[[102.0, 109.0, 90.0, 97.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002115.jpg,"[3, 17]","[[21.0, 21.0, 241.0, 319.0], [231.0, 1.0, 269.0, 318.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2008_002623.jpg,[2],"[[1.0, 341.0, 374.0, 159.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_004357.jpg,[0],"[[57.0, 73.0, 393.0, 148.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2007_007470.jpg,[0],"[[143.0, 32.0, 228.0, 245.0]]"
/home/thasin/class-projects/annotate/dataset/VOC2012_train_val/VOC2012_train_val/JPEGImages/2010_002378.jpg,[12],"[[99.0, 156.0, 234.0, 274.0]]"
